FishTaxa	Latitude83	Longitude83	SITEYR
TESSELLATED DARTER	39.10848034	-76.65979823	AA-N-091-303-97
YELLOW PERCH	39.10848034	-76.65979823	AA-N-091-303-97
AMERICAN EEL	39.10848034	-76.65979823	AA-N-091-303-97
BLUEGILL	39.10848034	-76.65979823	AA-N-091-303-97
BROWN BULLHEAD	39.10848034	-76.65979823	AA-N-091-303-97
GREEN SUNFISH	39.10877901	-76.65412674	AA-N-091-305-97
CHAIN PICKEREL	39.10877901	-76.65412674	AA-N-091-305-97
EASTERN MUDMINNOW	39.10877901	-76.65412674	AA-N-091-305-97
PUMPKINSEED	39.10877901	-76.65412674	AA-N-091-305-97
TESSELLATED DARTER	39.10877901	-76.65412674	AA-N-091-305-97
WHITE SUCKER	39.10877901	-76.65412674	AA-N-091-305-97
YELLOW PERCH	39.10877901	-76.65412674	AA-N-091-305-97
BROWN BULLHEAD	39.10877901	-76.65412674	AA-N-091-305-97
AMERICAN EEL	39.10877901	-76.65412674	AA-N-091-305-97
BLACKNOSE DACE	39.10877901	-76.65412674	AA-N-091-305-97
BLUEGILL	39.10877901	-76.65412674	AA-N-091-305-97
GREEN SUNFISH	39.10762832	-76.64735589	AA-N-091-314-97
CHAIN PICKEREL	39.10762832	-76.64735589	AA-N-091-314-97
EASTERN MUDMINNOW	39.10762832	-76.64735589	AA-N-091-314-97
REDBREAST SUNFISH	39.10762832	-76.64735589	AA-N-091-314-97
PUMPKINSEED	39.10762832	-76.64735589	AA-N-091-314-97
LARGEMOUTH BASS	39.10762832	-76.64735589	AA-N-091-314-97
TESSELLATED DARTER	39.10762832	-76.64735589	AA-N-091-314-97
SATINFIN SHINER	39.10762832	-76.64735589	AA-N-091-314-97
YELLOW PERCH	39.10762832	-76.64735589	AA-N-091-314-97
SPOTTAIL SHINER	39.10762832	-76.64735589	AA-N-091-314-97
WHITE SUCKER	39.10762832	-76.64735589	AA-N-091-314-97
BLACKNOSE DACE	39.10762832	-76.64735589	AA-N-091-314-97
BROWN BULLHEAD	39.10762832	-76.64735589	AA-N-091-314-97
BLUEGILL	39.10762832	-76.64735589	AA-N-091-314-97
AMERICAN EEL	39.10762832	-76.64735589	AA-N-091-314-97
EASTERN MUDMINNOW	39.10818461	-76.65631139	AA-N-091-320-97
GREEN SUNFISH	39.10818461	-76.65631139	AA-N-091-320-97
CHAIN PICKEREL	39.10818461	-76.65631139	AA-N-091-320-97
PUMPKINSEED	39.10818461	-76.65631139	AA-N-091-320-97
RAINBOW TROUT	39.10818461	-76.65631139	AA-N-091-320-97
TESSELLATED DARTER	39.10818461	-76.65631139	AA-N-091-320-97
WHITE SUCKER	39.10818461	-76.65631139	AA-N-091-320-97
YELLOW PERCH	39.10818461	-76.65631139	AA-N-091-320-97
BLUEGILL	39.10818461	-76.65631139	AA-N-091-320-97
BLACKNOSE DACE	39.10818461	-76.65631139	AA-N-091-320-97
AMERICAN EEL	39.10818461	-76.65631139	AA-N-091-320-97
LEAST BROOK LAMPREY	39.09887959	-76.74489811	AA-N-092-207-97
BLACKNOSE DACE	39.09887959	-76.74489811	AA-N-092-207-97
AMERICAN EEL	39.09887959	-76.74489811	AA-N-092-207-97
EASTERN MUDMINNOW	39.09426501	-76.74376678	AA-N-092-225-97
