FishTaxa	Latitude83	Longitude83	SITEYR
CHAIN PICKEREL	39.10108036	-76.63936049	AA-N-281-311-97
EASTERN MUDMINNOW	39.10108036	-76.63936049	AA-N-281-311-97
PUMPKINSEED	39.10108036	-76.63936049	AA-N-281-311-97
TESSELLATED DARTER	39.10108036	-76.63936049	AA-N-281-311-97
SATINFIN SHINER	39.10108036	-76.63936049	AA-N-281-311-97
YELLOW PERCH	39.10108036	-76.63936049	AA-N-281-311-97
WHITE SUCKER	39.10108036	-76.63936049	AA-N-281-311-97
BLUEGILL	39.10108036	-76.63936049	AA-N-281-311-97
AMERICAN EEL	39.10108036	-76.63936049	AA-N-281-311-97
BLACKNOSE DACE	39.10108036	-76.63936049	AA-N-281-311-97
EASTERN MUDMINNOW	39.04047468	-76.71441988	AA-N-307-218-97
REDFIN PICKEREL	39.04047468	-76.71441988	AA-N-307-218-97
BLUESPOTTED SUNFISH	39.04047468	-76.71441988	AA-N-307-218-97
EASTERN MUDMINNOW	39.00461084	-76.68881098	AA-N-321-117-97
GREEN SUNFISH	39.00461084	-76.68881098	AA-N-321-117-97
PUMPKINSEED	39.00461084	-76.68881098	AA-N-321-117-97
BLACKNOSE DACE	39.00461084	-76.68881098	AA-N-321-117-97
AMERICAN EEL	39.00461084	-76.68881098	AA-N-321-117-97
BLUEGILL	39.00461084	-76.68881098	AA-N-321-117-97
BROWN BULLHEAD	39.00461084	-76.68881098	AA-N-321-117-97
